study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA260763	SAMN03031181	SRX703577	SRR1581108	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581108/SRR1581108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581108/SRR1581108_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581108
PRJNA260763	SAMN03031181	SRX703577	SRR1581109	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581109/SRR1581109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581109/SRR1581109_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581109
PRJNA260763	SAMN03031182	SRX703579	SRR1581110	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581110/SRR1581110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581110/SRR1581110_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581110
PRJNA260763	SAMN03031182	SRX703579	SRR1581111	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581111/SRR1581111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581111/SRR1581111_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581111
PRJNA260763	SAMN03031182	SRX703579	SRR1581112	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581112/SRR1581112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581112/SRR1581112_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/002/SRR1581112
PRJNA260763	SAMN03031183	SRX703580	SRR1581113	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581113/SRR1581113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581113/SRR1581113_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/003/SRR1581113
PRJNA260763	SAMN03031183	SRX703580	SRR1581114	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581114/SRR1581114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581114/SRR1581114_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581114
PRJNA260763	SAMN03031183	SRX703580	SRR1581115	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581115/SRR1581115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581115/SRR1581115_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581115
PRJNA260763	SAMN03031184	SRX703581	SRR1581116	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581116/SRR1581116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581116/SRR1581116_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581116
PRJNA260763	SAMN03031184	SRX703581	SRR1581117	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581117/SRR1581117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581117/SRR1581117_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581117
PRJNA260763	SAMN03031184	SRX703581	SRR1581118	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581118/SRR1581118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581118/SRR1581118_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581118
PRJNA260763	SAMN03031185	SRX703582	SRR1581119	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581119/SRR1581119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581119/SRR1581119_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581119
PRJNA260763	SAMN03031185	SRX703582	SRR1581121	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581121/SRR1581121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581121/SRR1581121_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581121
PRJNA260763	SAMN03031185	SRX703582	SRR1581122	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581122/SRR1581122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581122/SRR1581122_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/002/SRR1581122
PRJNA260763	SAMN03031186	SRX703583	SRR1581123	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581123/SRR1581123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581123/SRR1581123_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/003/SRR1581123
PRJNA260763	SAMN03031186	SRX703583	SRR1581124	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581124/SRR1581124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581124/SRR1581124_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581124
PRJNA260763	SAMN03031186	SRX703583	SRR1581125	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581125/SRR1581125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581125/SRR1581125_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581125
PRJNA260763	SAMN03031187	SRX703584	SRR1581126	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581126/SRR1581126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581126/SRR1581126_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581126
PRJNA260763	SAMN03031187	SRX703584	SRR1581127	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581127/SRR1581127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581127/SRR1581127_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581127
PRJNA260763	SAMN03031187	SRX703584	SRR1581128	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581128/SRR1581128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581128/SRR1581128_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581128
PRJNA260763	SAMN03031188	SRX703585	SRR1581129	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581129/SRR1581129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581129/SRR1581129_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581129
PRJNA260763	SAMN03031188	SRX703585	SRR1581130	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581130/SRR1581130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581130/SRR1581130_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581130
PRJNA260763	SAMN03031188	SRX703585	SRR1581131	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581131/SRR1581131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581131/SRR1581131_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581131
PRJNA260763	SAMN03031189	SRX703586	SRR1581135	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581135/SRR1581135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581135/SRR1581135_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581135
PRJNA260763	SAMN03031190	SRX703589	SRR1581136	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581136/SRR1581136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581136/SRR1581136_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581136
PRJNA260763	SAMN03031191	SRX703594	SRR1581137	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581137/SRR1581137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581137/SRR1581137_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581137
PRJNA260763	SAMN03031193	SRX703596	SRR1581138	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581138/SRR1581138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581138/SRR1581138_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581138
PRJNA260763	SAMN03031192	SRX703595	SRR1581139	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581139/SRR1581139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581139/SRR1581139_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581139
PRJNA260763	SAMN03031194	SRX703597	SRR1581140	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581140/SRR1581140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581140/SRR1581140_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581140
PRJNA260763	SAMN03031195	SRX703599	SRR1581141	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581141/SRR1581141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581141/SRR1581141_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581141

